Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,Spring 2022,1093.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1156.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1510.0,0,1,0,1,4.0
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Junior,Spring 2022,1612.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1739.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,Spring 2022,1772.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,Spring 2022,1793.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1848.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Junior,Spring 2022,1873.0,0,1,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,Spring 2022,1002.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,Spring 2022,1530.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Spring 2022,1298.0,0,1,0,1,3.7
D+,D+,GRD,Business Administration - Business Administration,Junior,Spring 2022,1579.0,0,1,0,1,1.3
A,A,GRD,Intended - Business Admin (intended),Junior,Spring 2022,1927.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1381.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Spring 2022,1806.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,Spring 2022,1613.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Spring 2022,1741.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Legal Studies (Minor),Junior,Spring 2022,1257.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Business Administration,Senior,Spring 2022,2042.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1194.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor)/Communication (Minor),Senior,Spring 2022,1366.0,1,0,0,1,3.7
A,A,GRD,Coll Engineering & Applied Sci - Comp Science & Applied Math/Business (Minor)/Informatics (Minor)/,Junior,Spring 2022,1787.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Music (Minor),Junior,Spring 2022,1869.0,0,1,0,1,4.0
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,Spring 2022,2031.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1151.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,Spring 2022,1070.0,0,1,0,1,4.0
B-,B-,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Junior,Spring 2022,1360.0,0,1,0,0,2.7
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1645.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor)/Theatre (Minor),Junior,Spring 2022,2021.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Spring 2022,2051.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,Spring 2022,1988.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,Spring 2022,1436.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,Spring 2022,1724.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Leadership (Minor),Junior,Spring 2022,2057.0,0,1,0,1,4.0
